hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description
HED_0012001	0	Event	HedTag	suggestedTag=Task-property, annotation=ncit:C25499, annotation=rdfs:comment Should have this tag in every event process.	Something that happens at a given time and (typically) place. Elements of this tag subtree designate the general category in which an event falls.
HED_0012002	1	Sensory-event	Event	suggestedTag=Task-event-role, suggestedTag=Sensory-presentation	Something perceivable by the participant. An event meant to be an experimental stimulus should include the tag Task-property/Task-event-role/Experimental-stimulus.
HED_0012003	1	Agent-action	Event	suggestedTag=Task-event-role, suggestedTag=Agent	Any action engaged in by an agent (see the Agent subtree for agent categories). A participant response to an experiment stimulus should include the tag Agent-property/Agent-task-role/Experiment-participant.
HED_0012004	1	Data-feature	Event	suggestedTag=Data-property	An event marking the occurrence of a data feature such as an interictal spike or alpha burst that is often added post hoc to the data record.
HED_0012005	1	Experiment-control	Event		An event pertaining to the physical control of the experiment during its operation.
HED_0012006	1	Experiment-procedure	Event		An event indicating an experimental procedure, as in performing a saliva swab during the experiment or administering a survey.
HED_0012007	1	Experiment-structure	Event		An event specifying a change-point of the structure of experiment. This event is typically used to indicate a change in experimental conditions or tasks.
HED_0012008	1	Measurement-event	Event	suggestedTag=Data-property	A discrete measure returned by an instrument.
HED_0012009	0	Agent	HedTag	suggestedTag=Agent-property	Someone or something that takes an active role or produces a specified effect.The role or effect may be implicit. Being alive or performing an activity such as a computation may qualify something to be an agent. An agent may also be something that simulates something else.
HED_0012010	1	Animal-agent	Agent		An agent that is an animal.
HED_0012011	1	Avatar-agent	Agent		An agent associated with an icon or avatar representing another agent.
HED_0012012	1	Controller-agent	Agent		Experiment control software or hardware.
HED_0012013	1	Human-agent	Agent		A person who takes an active role or produces a specified effect.
HED_0012014	1	Robotic-agent	Agent		An agent mechanical device capable of performing a variety of often complex tasks on command or by being programmed in advance.
HED_0012015	1	Software-agent	Agent		An agent computer program that interacts with the participant in an active role such as an AI advisor.
HED_0012016	0	Action	HedTag	extensionAllowed	Do something.
HED_0012017	1	Communicate	Action		Action conveying knowledge of or about something.
HED_0012018	2	Communicate-gesturally	Communicate	relatedTag=Move-face, relatedTag=Move-upper-extremity	Communicate non-verbally using visible bodily actions, either in place of speech or together and in parallel with spoken words. Gestures include movement of the hands, face, or other parts of the body.
HED_0012019	3	Clap-hands	Communicate-gesturally		Strike the palms of against one another resoundingly, and usually repeatedly, especially to express approval.
HED_0012020	3	Clear-throat	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-head	Cough slightly so as to speak more clearly, attract attention, or to express hesitancy before saying something awkward.
HED_0012021	3	Frown	Communicate-gesturally	relatedTag=Move-face	Express disapproval, displeasure, or concentration, typically by turning down the corners of the mouth.
HED_0012022	3	Grimace	Communicate-gesturally	relatedTag=Move-face	Make a twisted expression, typically expressing disgust, pain, or wry amusement.
HED_0012023	3	Nod-head	Communicate-gesturally	relatedTag=Move-head	Tilt head in alternating up and down arcs along the sagittal plane. It is most commonly, but not universally, used to indicate agreement, acceptance, or acknowledgement.
HED_0012024	3	Pump-fist	Communicate-gesturally	relatedTag=Move-upper-extremity	Raise with fist clenched in triumph or affirmation.
HED_0012025	3	Raise-eyebrows	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Move eyebrows upward.
HED_0012026	3	Shake-fist	Communicate-gesturally	relatedTag=Move-upper-extremity	Clench hand into a fist and shake to demonstrate anger.
HED_0012027	3	Shake-head	Communicate-gesturally	relatedTag=Move-head	Turn head from side to side as a way of showing disagreement or refusal.
HED_0012028	3	Shhh	Communicate-gesturally	relatedTag=Move-upper-extremity	Place finger over lips and possibly uttering the syllable shhh to indicate the need to be quiet.
HED_0012029	3	Shrug	Communicate-gesturally	relatedTag=Move-upper-extremity, relatedTag=Move-torso	Lift shoulders up towards head to indicate a lack of knowledge about a particular topic.
HED_0012030	3	Smile	Communicate-gesturally	relatedTag=Move-face	Form facial features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and the front teeth exposed.
HED_0012031	3	Spread-hands	Communicate-gesturally	relatedTag=Move-upper-extremity	Spread hands apart to indicate ignorance.
HED_0012032	3	Thumb-up	Communicate-gesturally	relatedTag=Move-upper-extremity	Extend the thumb upward to indicate approval.
HED_0012033	3	Thumbs-down	Communicate-gesturally	relatedTag=Move-upper-extremity	Extend the thumb downward to indicate disapproval.
HED_0012034	3	Wave	Communicate-gesturally	relatedTag=Move-upper-extremity	Raise hand and move left and right, as a greeting or sign of departure.
HED_0012035	3	Widen-eyes	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Open eyes and possibly with eyebrows lifted especially to express surprise or fear.
HED_0012036	3	Wink	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Close and open one eye quickly, typically to indicate that something is a joke or a secret or as a signal of affection or greeting.
HED_0012037	2	Communicate-musically	Communicate		Communicate using music.
HED_0012038	3	Hum	Communicate-musically		Make a low, steady continuous sound like that of a bee. Sing with the lips closed and without uttering speech.
HED_0012039	3	Play-instrument	Communicate-musically		Make musical sounds using an instrument.
HED_0012040	3	Sing	Communicate-musically		Produce musical tones by means of the voice.
HED_0012041	3	Vocalize	Communicate-musically		Utter vocal sounds.
HED_0012042	3	Whistle	Communicate-musically		Produce a shrill clear sound by forcing breath out or air in through the puckered lips.
HED_0012043	2	Communicate-vocally	Communicate		Communicate using mouth or vocal cords.
HED_0012044	3	Cry	Communicate-vocally		Shed tears associated with emotions, usually sadness but also joy or frustration.
HED_0012045	3	Groan	Communicate-vocally		Make a deep inarticulate sound in response to pain or despair.
HED_0012046	3	Laugh	Communicate-vocally		Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.
HED_0012047	3	Scream	Communicate-vocally		Make loud, vociferous cries or yells to express pain, excitement, or fear.
HED_0012048	3	Shout	Communicate-vocally		Say something very loudly.
HED_0012049	3	Sigh	Communicate-vocally		Emit a long, deep, audible breath expressing sadness, relief, tiredness, or a similar feeling.
HED_0012050	3	Speak	Communicate-vocally		Communicate using spoken language.
HED_0012051	3	Whisper	Communicate-vocally		Speak very softly using breath without vocal cords.
HED_0012052	1	Move	Action		Move in a specified direction or manner. Change position or posture.
HED_0012053	2	Breathe	Move		Inhale or exhale during respiration.
HED_0012054	3	Blow	Breathe		Expel air through pursed lips.
HED_0012055	3	Cough	Breathe		Suddenly and audibly expel air from the lungs through a partially closed glottis, preceded by inhalation.
HED_0012056	3	Exhale	Breathe		Blow out or expel breath.
HED_0012057	3	Hiccup	Breathe		Involuntarily spasm the diaphragm and respiratory organs, with a sudden closure of the glottis and a characteristic sound like that of a cough.
HED_0012058	3	Hold-breath	Breathe		Interrupt normal breathing by ceasing to inhale or exhale.
HED_0012059	3	Inhale	Breathe		Draw in with the breath through the nose or mouth.
HED_0012060	3	Sneeze	Breathe		Suddenly and violently expel breath through the nose and mouth.
HED_0012061	3	Sniff	Breathe		Draw in air audibly through the nose to detect a smell, to stop it from running, or to express contempt.
HED_0012062	2	Move-body	Move		Move entire body.
HED_0012063	3	Bend	Move-body		Move body in a bowed or curved manner.
HED_0012064	3	Dance	Move-body		Perform a purposefully selected sequences of human movement often with aesthetic or symbolic value. Move rhythmically to music, typically following a set sequence of steps.
HED_0012065	3	Fall-down	Move-body		Lose balance and collapse.
HED_0012066	3	Flex	Move-body		Cause a muscle to stand out by contracting or tensing it. Bend a limb or joint.
HED_0012067	3	Jerk	Move-body		Make a quick, sharp, sudden movement.
HED_0012068	3	Lie-down	Move-body		Move to a horizontal or resting position.
HED_0012069	3	Recover-balance	Move-body		Return to a stable, upright body position.
HED_0012070	3	Shudder	Move-body		Tremble convulsively, sometimes as a result of fear or revulsion.
HED_0012071	3	Sit-down	Move-body		Move from a standing to a sitting position.
HED_0012072	3	Sit-up	Move-body		Move from lying down to a sitting position.
HED_0012073	3	Stand-up	Move-body		Move from a sitting to a standing position.
HED_0012074	3	Stretch	Move-body		Straighten or extend body or a part of body to its full length, typically so as to tighten muscles or in order to reach something.
HED_0012075	3	Stumble	Move-body		Trip or momentarily lose balance and almost fall.
HED_0012076	3	Turn	Move-body		Change or cause to change direction.
HED_0012077	2	Move-body-part	Move		Move one part of a body.
HED_0012078	3	Move-eyes	Move-body-part		Move eyes.
HED_0012079	4	Blink	Move-eyes		Shut and open the eyes quickly.
HED_0012080	4	Close-eyes	Move-eyes		Lower and keep eyelids in a closed position.
HED_0012081	4	Fixate	Move-eyes		Direct eyes to a specific point or target.
HED_0012082	4	Inhibit-blinks	Move-eyes		Purposely prevent blinking.
HED_0012083	4	Open-eyes	Move-eyes		Raise eyelids to expose pupil.
HED_0012084	4	Saccade	Move-eyes		Move eyes rapidly between fixation points.
HED_0012085	4	Squint	Move-eyes		Squeeze one or both eyes partly closed in an attempt to see more clearly or as a reaction to strong light.
HED_0012086	4	Stare	Move-eyes		Look fixedly or vacantly at someone or something with eyes wide open.
HED_0012087	3	Move-face	Move-body-part		Move the face or jaw.
HED_0012088	4	Bite	Move-face		Seize with teeth or jaws an object or organism so as to grip or break the surface covering.
